instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,season_label,weather_label,weekday_label,month_label,year_label,workingday_label,temp_c,atemp_c,hum_pct,wind_kmh
1,2011-01-01,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Spring,Mist/Cloudy,Saturday,Jan,2011,Weekend/Holiday,8.175849,7.99925,80.58330000000001,10.749882
2,2011-01-02,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Spring,Mist/Cloudy,Sunday,Jan,2011,Weekend/Holiday,9.083466000000001,7.3467740000000035,69.6087,16.652113
3,2011-01-03,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Spring,Clear,Monday,Jan,2011,Working Day,1.229108,-3.499270000000001,43.7273,16.636703
4,2011-01-04,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,Spring,Clear,Tuesday,Jan,2011,Working Day,1.4000000000000004,-1.9999479999999998,59.0435,10.739832
5,2011-01-05,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Spring,Clear,Wednesday,Jan,2011,Working Day,2.6669789999999995,-0.8681800000000006,43.695699999999995,12.522300000000001
6,2011-01-06,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,Spring,Clear,Thursday,Jan,2011,Working Day,1.6043559999999992,-0.6082059999999991,51.8261,6.0008684
7,2011-01-07,1,0,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726,148,1362,1510,Spring,Mist/Cloudy,Friday,Jan,2011,Working Day,1.2365340000000007,-2.2166259999999998,49.8696,11.304642
8,2011-01-08,1,0,1,0,6,0,2,0.165,0.162254,0.535833,0.266804,68,891,959,Spring,Mist/Cloudy,Saturday,Jan,2011,Weekend/Holiday,-0.24499999999999922,-5.291236,53.5833,17.875868
9,2011-01-09,1,0,1,0,0,0,1,0.138333,0.116175,0.434167,0.36195,54,768,822,Spring,Clear,Sunday,Jan,2011,Weekend/Holiday,-1.4983489999999993,-8.33245,43.416700000000006,24.25065
10,2011-01-10,1,0,1,0,1,1,1,0.150833,0.150888,0.482917,0.223267,41,1280,1321,Spring,Clear,Monday,Jan,2011,Working Day,-0.9108490000000007,-6.041392,48.2917,14.958889
11,2011-01-11,1,0,1,0,2,1,2,0.169091,0.191464,0.686364,0.122132,43,1220,1263,Spring,Mist/Cloudy,Tuesday,Jan,2011,Working Day,-0.0527230000000003,-3.3633760000000006,68.6364,8.182844000000001
12,2011-01-12,1,0,1,0,3,1,1,0.172727,0.160473,0.599545,0.304627,25,1137,1162,Spring,Clear,Wednesday,Jan,2011,Working Day,0.11816899999999997,-5.408782,59.954499999999996,20.410009
13,2011-01-13,1,0,1,0,4,1,1,0.165,0.150883,0.470417,0.301,38,1368,1406,Spring,Clear,Thursday,Jan,2011,Working Day,-0.24499999999999922,-6.041722,47.0417,20.166999999999998
14,2011-01-14,1,0,1,0,5,1,1,0.16087,0.188413,0.537826,0.126548,54,1367,1421,Spring,Clear,Friday,Jan,2011,Working Day,-0.43910999999999945,-3.5647420000000007,53.7826,8.478716
15,2011-01-15,1,0,1,0,6,0,2,0.233333,0.248112,0.49875,0.157963,222,1026,1248,Spring,Mist/Cloudy,Saturday,Jan,2011,Weekend/Holiday,2.9666510000000006,0.3753920000000015,49.875,10.583521
16,2011-01-16,1,0,1,0,0,0,1,0.231667,0.234217,0.48375,0.188433,251,953,1204,Spring,Clear,Sunday,Jan,2011,Weekend/Holiday,2.888349,-0.5416779999999992,48.375,12.625010999999999
17,2011-01-17,1,0,1,1,1,0,2,0.175833,0.176771,0.5375,0.194017,117,883,1000,Spring,Mist/Cloudy,Monday,Jan,2011,Weekend/Holiday,0.264151,-4.333113999999998,53.75,12.999139
18,2011-01-18,1,0,1,0,2,1,2,0.216667,0.232333,0.861667,0.146775,9,674,683,Spring,Mist/Cloudy,Tuesday,Jan,2011,Working Day,2.1833489999999998,-0.6660219999999999,86.16669999999999,9.833924999999999
19,2011-01-19,1,0,1,0,3,1,2,0.292174,0.298422,0.741739,0.208317,78,1572,1650,Spring,Mist/Cloudy,Wednesday,Jan,2011,Working Day,5.732177999999999,3.695852000000002,74.1739,13.957239
